gene_name,sample_name,gene_family,aro_accession,drug_class,high_level_drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_gene_id,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
AcrF,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000502,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,beta-lactam antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,86.0,ARO:3000502|ID:1437|Name:AcrF|NCBI:U00096.1,24.61,1.01,Klebsiella (chromosome): 42; ,5800012,25.3,0.3
ArnT,App1_platelet_bag_culture,pmr phosphoethanolamine transferase,ARO:3005053,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,99.8188,99.27,Klebsiella pneumoniae (chromosome),545.0,ARO:3005053|ID:3795|Name:ArnT|NCBI:FO834906.1,100.0,46.12,Klebsiella pneumoniae (chromosome): 138; Klebsiella (chromosome): 26; ,5800012,160.32,13.57
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,App1_platelet_bag_culture,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),ARO:3004480,rifamycin antibiotic,rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,40.0,ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1,6.71,0.17,Klebsiella pneumoniae (chromosome): 32; Klebsiella pneumoniae (chromosome or plasmid): 8; ,5800012,11.77,0.05
CRP,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000518,macrolide antibiotic; fluoroquinolone antibiotic; penam,beta-lactam antibiotic; macrolide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Strict,99.5261,99.05,Klebsiella (chromosome),260.0,ARO:3000518|ID:869|Name:CRP|NCBI:AP009048.1,97.47,50.11,Klebsiella (chromosome): 72; ,5800012,76.48,14.74
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003378,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,beta-lactam antibiotic; fluoroquinolone antibiotic; disinfecting agents and antiseptics; rifamycin antibiotic; phenicol antibiotic; tetracycline antibiotic,antibiotic target alteration; antibiotic efflux,protein overexpression,1,Strict,99.3103,84.03,,,,,,,5800012,0.0,0.0
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,App1_platelet_bag_culture,elfamycin resistant EF-Tu,ARO:3003369,elfamycin antibiotic,elfamycin antibiotic,antibiotic target alteration,protein variant,1,Nudged,84.1463,97.97,Unknown taxonomy (chromosome or plasmid),,,,,,5800012,0.0,0.0
Escherichia coli UhpT with mutation conferring resistance to fosfomycin,App1_platelet_bag_culture,antibiotic-resistant UhpT,ARO:3003890,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic target alteration,protein variant,1,Strict,99.7845,95.03,Klebsiella pneumoniae (chromosome or plasmid),,,,,,5800012,0.0,0.0
Escherichia coli mdfA,App1_platelet_bag_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3001328,tetracycline antibiotic; disinfecting agents and antiseptics,tetracycline antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Strict,99.7567,85.37,,27.0,ARO:3001328|ID:37|Name:Escherichia_coli_mdfA|NCBI:JQ394987.1,19.71,0.22,,5800012,7.94,0.06
FosA6,App1_platelet_bag_culture,fosfomycin thiol transferase,ARO:3004111,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.2857,99.28,Unknown taxonomy (chromosome or plasmid),174.0,ARO:3004111|ID:2779|Name:FosA6|NCBI:KU254579.1,100.0,51.05,Klebsiella pneumoniae (chromosome or plasmid): 24; ,5800012,51.18,15.02
H-NS,App1_platelet_bag_culture,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000676,macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic,tetracycline antibiotic; beta-lactam antibiotic; macrolide antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,240.0,ARO:3000676|ID:1248|Name:H-NS|NCBI:BA000007.3,97.1,61.76,Klebsiella pneumoniae (chromosome or plasmid): 38; Klebsiella (chromosome or plasmid): 144; ,5800012,70.6,18.17
